JURISDICTION,AREA_OF_LAW,YEAR,CATEGORY,INCOMING,RESOLVED
Central Criminal Court,Criminal,2023,Rape (Including Attempted Rape),1168,1256
Court of Appeal,Criminal,2023,Firearms/Weapon/Possession Of Explosives/Ammunition,70,50
Circuit Court,Criminal Appeals,2023,Drugs,1078,935
District Court,Criminal,2023,Other,48276,40697
District Court,Criminal,2023,Sexual,3211,253
Central Criminal Court,Criminal,2023,Other,90,120
Court of Appeal,Criminal,2023,Murder,18,19
Special Criminal Court,Criminal,2023,Threaten To Kill,0,1
Circuit Court,Criminal,2023,Drugs,3368,4339
Circuit Court,Criminal,2023,Firearms,851,1120
Court of Appeal,Criminal,2023,Road Traffic,85,89
Special Criminal Court,Criminal,2023,Theft,9,3
District Court,Criminal,2023,Larceny/Fraud/Robbery,33829,24368
Special Criminal Court,Criminal,2023,Other,22,43
Special Criminal Court,Criminal,2023,Possession Of Firearms/ Ammunition/Explosive Substances,2,7
Circuit Court,Criminal,2023,Larceny/Fraud/Robbery,4626,6122
Circuit Court,Criminal Appeals,2023,Public Order/Assault,2157,2136
Circuit Court,Criminal Appeals,2023,Other,2196,2132
District Court,Criminal,2023,Road Traffic,170839,149621
District Court,Criminal,2022,Sexual,3212,222
District Court,Criminal,2022,Other,47990,39963
Central Criminal Court,Criminal,2022,Rape (Including Attempted Rape) Rape (Including Attempted Rape),1112,675
Circuit Court,Criminal Appeals,2022,Drugs,977,1035
Court of Appeal,Criminal,2022,Public Order,15,8
Court of Appeal,Criminal,2022,Sexual Offences,707,478
Court of Appeal,Criminal,2022,Theft/Fraud/Robbery Theft/Fraud/Robbery,266,575
Court of Appeal,Criminal,2022,Other,307,155
Circuit Court,Criminal,2022,Drugs,3151,4247
Circuit Court,Criminal,2022,Firearms/Weapon/Possession Of Explosives/Ammunition,847,1080
